Település;Cim;Terület;Szobák;Ár;Emelet;Eladó;Kertes;
Budapest;Fő utca 12.;73,5 m²;3;45,9 millió;2;IGAZ;HAMIS;
Debrecen;Kossuth utca 5.;55,0 m²;2;28,5 millió;0;IGAZ;IGAZ;
Pécs;Rákóczi út 33.;90,0 m²;4;38,0 millió;1;HAMIS;IGAZ;
Győr;Arany János utca 7.;62,5 m²;3;31,2 millió;3;IGAZ;HAMIS;
Miskolc;Széchenyi út 18.;48,0 m²;2;19,9 millió;0;HAMIS;IGAZ;
Budapest;Váci út 101.;110,0 m²;5;89,0 millió;5;IGAZ;HAMIS;
Sopron;Petőfi utca 4.;78,0 m²;3;42,5 millió;2;IGAZ;IGAZ;
Eger;Dobó tér 2.;65,0 m²;3;33,0 millió;1;HAMIS;HAMIS;
Székesfehérvár;Március 15. tér 9.;52,0 m²;2;24,5 millió;0;IGAZ;IGAZ;
Veszprém;Óváros tér 6.;84,0 m²;4;36,8 millió;2;HAMIS;HAMIS;
Budapest;Bartók Béla út 45.;95,0 m²;4;72,0 millió;3;IGAZ;HAMIS;
Kecskemét;Szabadság tér 11.;60,0 m²;3;27,9 millió;1;IGAZ;IGAZ;
Nyíregyháza;Luther utca 3.;45,0 m²;2;17,5 millió;0;HAMIS;IGAZ;
Szombathely;Fő tér 8.;70,0 m²;3;34,0 millió;2;IGAZ;HAMIS;
Kaposvár;Rippl-Rónai utca 14.;55,5 m²;2;21,0 millió;1;HAMIS;IGAZ;
Budapest;Andrássy út 22.;150,0 m²;6;185,0 millió;4;IGAZ;HAMIS;
Zalaegerszeg;Kovács utca 7.;67,0 m²;3;29,5 millió;0;IGAZ;IGAZ;
Tatabánya;Május 1. út 19.;50,0 m²;2;18,9 millió;2;HAMIS;HAMIS;
Szolnok;Verseghy utca 5.;80,0 m²;4;32,0 millió;1;IGAZ;IGAZ;
Érd;Budai út 55.;100,0 m²;5;58,0 millió;0;IGAZ;HAMIS;
Budapest;Üllői út 78.;42,0 m²;1;38,5 millió;6;HAMIS;HAMIS;
Győr;Baross út 12.;88,0 m²;4;43,0 millió;0;IGAZ;IGAZ;
Debrecen;Piac utca 44.;73,0 m²;3;31,5 millió;3;HAMIS;HAMIS;
Pécs;Király utca 9.;61,0 m²;3;29,0 millió;2;IGAZ;HAMIS;
Miskolc;Bajcsy-Zsilinszky út 6.;54,0 m²;2;22,5 millió;1;IGAZ;IGAZ;
Budapest;Margit körút 31.;120,0 m²;5;98,0 millió;2;HAMIS;HAMIS;
Sopron;Széchenyi tér 3.;92,0 m²;4;49,9 millió;0;IGAZ;IGAZ;
Eger;Knézich utca 11.;47,0 m²;2;20,0 millió;1;HAMIS;HAMIS;
Kecskemét;Izsáki út 22.;76,0 m²;3;30,0 millió;0;IGAZ;IGAZ;
Székesfehérvár;Budai út 14.;58,0 m²;2;25,9 millió;2;HAMIS;HAMIS;
Budapest;Lánchíd utca 1.;200,0 m²;7;320,0 millió;3;IGAZ;HAMIS;
Veszprém;Jutasi út 8.;63,0 m²;3;28,0 millió;1;IGAZ;IGAZ;
Nyíregyháza;Dózsa György út 17.;51,0 m²;2;19,0 millió;0;HAMIS;HAMIS;
Szombathely;Kőszegi út 5.;82,0 m²;4;37,5 millió;2;IGAZ;IGAZ;
Kaposvár;Fő utca 30.;44,0 m²;1;15,9 millió;3;HAMIS;HAMIS;
Budapest;Kerepesi út 55.;68,0 m²;3;52,0 millió;1;IGAZ;HAMIS;
Zalaegerszeg;Rákóczi utca 9.;57,0 m²;2;23,5 millió;0;HAMIS;IGAZ;
Tatabánya;Győri út 41.;93,0 m²;4;40,0 millió;0;IGAZ;IGAZ;
Szolnok;Ady Endre út 3.;72,0 m²;3;27,0 millió;2;HAMIS;HAMIS;
Érd;Tárnoki út 18.;115,0 m²;5;64,0 millió;1;IGAZ;HAMIS;
Budapest;Zsigmond tér 6.;85,0 m²;4;69,5 millió;4;HAMIS;HAMIS;
Győr;Révai Miklós utca 2.;48,0 m²;2;22,0 millió;2;IGAZ;IGAZ;
Debrecen;Hatvan utca 31.;104,0 m²;4;44,5 millió;0;IGAZ;HAMIS;
Pécs;Alkotmány utca 7.;59,0 m²;2;26,0 millió;1;HAMIS;IGAZ;
Miskolc;Görgey Arthur utca 13.;77,0 m²;3;31,0 millió;3;IGAZ;HAMIS;
Budapest;Dohány utca 44.;66,0 m²;3;57,0 millió;2;HAMIS;HAMIS;
Sopron;Ógabona tér 5.;53,0 m²;2;27,0 millió;1;IGAZ;IGAZ;
Eger;Széchenyi utca 19.;89,0 m²;4;38,5 millió;0;IGAZ;HAMIS;
Kecskemét;Nyíri út 8.;46,0 m²;2;18,0 millió;2;HAMIS;IGAZ;
Székesfehérvár;Palotai út 26.;71,0 m²;3;32,5 millió;1;IGAZ;HAMIS;
